SURAT LALU LINTAS KEIMIGRASIAN KANIM PKP,,,,,,,,,,,,
TAHUN 2026,,,,,,,,,,,,
NO,Tanggal,Klasifikasi,,,,Jenis,Nomor,Nomor,Isi Ringkasan,Nomor Surat,Pengelola,Status
81,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
82,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
83,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
84,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
85,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
86,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
87,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
88,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
89,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
90,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
91,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
92,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
93,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
94,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
95,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
96,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
97,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
98,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
99,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
100,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
101,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
102,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
103,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
104,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
105,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
106,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
107,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
108,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
109,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
110,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
111,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
112,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
113,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
114,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
115,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
116,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
117,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
118,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
119,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
120,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
121,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
122,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
123,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
124,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
125,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
126,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
127,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
128,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
129,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
130,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
131,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
132,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
133,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
134,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
135,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
136,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
137,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
138,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
139,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
140,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
141,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
142,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
143,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
144,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
145,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
146,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
147,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
148,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
149,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
150,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
151,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
152,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
153,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
154,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
155,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
156,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
157,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
158,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
159,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
160,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
161,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
162,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
163,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
164,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
165,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
166,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
167,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
168,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
169,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
170,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
171,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
172,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
173,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
174,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
175,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
176,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
177,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
178,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
179,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
180,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
181,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
182,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
183,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
184,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
185,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
186,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
187,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
188,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
189,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
190,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
191,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
192,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
193,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
194,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
195,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
196,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
197,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
198,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
199,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
200,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
201,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
202,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
203,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
204,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
205,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
206,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
207,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
208,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
209,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
210,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
211,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
212,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
213,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
214,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
215,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
216,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
217,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
218,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
219,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
220,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
221,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
222,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
223,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
224,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
225,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
226,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
227,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
228,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
229,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
230,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
231,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
232,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
233,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
234,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
235,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
236,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
237,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
238,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
239,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
240,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
241,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
242,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
243,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
244,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
245,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
246,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
247,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
248,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
249,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
250,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
251,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
252,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
253,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
254,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
255,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
256,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
257,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
258,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
259,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
260,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
261,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
262,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
263,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
264,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
265,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
266,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
267,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
268,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
269,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
270,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
271,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
272,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
273,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
274,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
275,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
276,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
277,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
278,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
279,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
280,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
281,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
282,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
283,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
284,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
285,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
286,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
287,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
288,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
289,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
290,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
291,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
292,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
293,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
294,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
295,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
296,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
297,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
298,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
299,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
300,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
301,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
302,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
303,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
304,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
305,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
306,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
307,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
308,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
309,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
310,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
311,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
312,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
313,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
314,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
315,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
316,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
317,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
318,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
319,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
320,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
321,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
322,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
323,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
324,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
325,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
326,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
327,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
328,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
329,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
330,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
331,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
332,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
333,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
334,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
335,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
336,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
337,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
338,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
339,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
340,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
341,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
342,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
343,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
344,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
345,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
346,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
347,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
348,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
349,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
350,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
351,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
352,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
353,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
354,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
355,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
356,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
357,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
358,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
359,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
360,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
361,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
362,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
363,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
364,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
365,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
366,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
367,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
368,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
369,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
370,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
371,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
372,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
373,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
374,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
375,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
376,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
377,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
378,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
379,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
380,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
381,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
382,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
383,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
384,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
385,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
386,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
387,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
388,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
389,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
390,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
391,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
392,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
393,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
394,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
395,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
396,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
397,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
398,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
399,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
400,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
401,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
402,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
403,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
404,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
405,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
406,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
407,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
408,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
409,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
410,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
411,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
412,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
413,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
414,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
415,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
416,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
417,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
418,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
419,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
420,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
421,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
422,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
423,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
424,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
425,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
426,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
427,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
428,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
429,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
430,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
431,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
432,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
433,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
434,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
435,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
436,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
437,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
438,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
439,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
440,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
441,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
442,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
443,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
444,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
445,,LANTASKIM,LK/LANTASKIM,,,,,,,,,
